prompt_uuid,prompt,accuracy,accuracy_sd,n_subjects,space_rt_mean,space_rt_sd,choice_rt_mean,choice_rt_sd,category,prompt_type,a,b,bin,prompt_format
01d5a51d-7378-576b-aafc-5a45a1ffab63,Milwaukee is BLANK Ali. Ali turns around. Milwaukee is East of Ali.,0.058823529411764705,0.8269362305593853,17,3502.5333333319577,4369.681884892519,7924.474999992487,8875.565383388344,geocentric_distant,context,East of,West of,3,context
02ed9d8b-8be8-5d09-8e50-1c31eed01911,Chicago is right of Ali. Ali turns around. Chicago is BLANK Ali.,0.3125,0.873212459828649,16,4195.55833332551,3618.486846338107,8028.891666682747,7208.940915079111,egocentric_distant,target,left of,right of,1,target
039eef21-48ea-5f03-97a8-50099c8411f3,The painting is East of Ali. Ali turns around. The painting is BLANK Ali.,0.125,0.8062257748298549,16,3770.6999999958402,2896.8304779787054,8650.108333332153,7778.99815861267,geocentric_near,target,East of,West of,3,target
03aa1fc7-369b-5dbc-a94e-7d6f36d60ff7,Ali is facing towards Mark. Ali turns around. Ali is facing BLANK Mark.,0.3333333333333333,0.8563488385776752,21,3294.4499999652617,5405.066508367238,8283.850000027334,10871.981158793476,two_refs_egocentric,target,away,towards,2,target
03be173e-02aa-5a79-968a-ce8ea00117d3,The empty glass is on the table. Ali knocks the glass over. The table is BLANK.,0.3333333333333333,0.9074852129730301,18,3322.1461538580925,2692.5223798637517,7112.576923080585,7077.179449618867,state_nonfollows,target,dry,wet,1,target
074db133-5b7c-5b64-bf17-595f0672a13e,Ali is East of Milwaukee. Ali walks West. Ali is getting BLANK Milwaukee.,0.047619047619047616,0.8047478161629564,21,4795.133333330074,4584.162214413553,13411.119999997562,14119.033639744266,geocentric_distant,target,closer to,further from,1,target
07d45d86-9d5e-5f76-a281-81fd6837ef87,Mark is East of Budapest and Ali is West of Budapest. Mark walks directly BLANK Ali. Mark is heading West.,0.3125,0.873212459828649,16,2769.116666657074,4034.7652273310146,9625.83333333861,8931.356564213977,two_refs_geocentric,context,towards,away from,1,context
09236428-50c5-59b2-90d1-53711d6c7795,The wine glass is on the BLANK. Ali bumps the wine glass. The wine spills on the floor.,-0.13043478260869565,0.6944158975248031,23,2813.312500010601,2079.947795794402,64000.16250000071,228609.4572379444,action_follows,context,floor,table,4,context
09a5259f-f1f6-5316-829f-75de35dc7fe2,Mark is facing East and Ali is facing BLANK. Mark turns 180 degrees. Mark and Ali are facing the same direction.,0.16666666666666666,0.8574929257125442,18,7855.992307716121,14567.616106179963,6574.199999997249,6151.547370245965,two_refs_geocentric,context,West,East,2,context
0a0053eb-14a6-5355-ba4c-111aa119ddba,Milwaukee is South of Ali. Ali turns around. Milwaukee is BLANK Ali.,0.0,0.816496580927726,19,6215.338461539493,7506.111774806809,6718.630769229852,7280.733616592707,geocentric_distant,target,South of,North of,4,target
0a07145e-59b3-581f-bd0a-86eff289a0ce,The brick is on the table. Ali bumps the brick off the table. The brick BLANK.,0.3,0.9233805168766387,20,10674.22857144565,32202.556493839445,6220.135714289965,3464.5037328194835,state_nonfollows,target,doesn't break,breaks,2,target
0d41b0d1-a40c-52ae-8a94-0328e70ebb21,Ali is to Mark's BLANK. Mark turns around. Ali is to Mark's left.,0.5294117647058824,0.7998161553463029,17,2185.0285714385764,2277.4825820278393,7657.985714290025,7209.443578346034,two_refs_egocentric,context,right,left,2,context
0db7dd2a-b02c-5034-9735-67371cfe2717,The book is under the table. Ali moves the book. The table BLANK.,0.5,0.8548504142651103,14,2861.5545454678886,2696.494406586637,13795.82727273486,29179.658365960106,action_nonfollows,target,doesn't move,moves,3,target
0e01e057-85b8-55f1-aa7c-67aa83d13493,The painting is BLANK Ali. Ali turns right. The painting is left of Ali.,0.375,0.8850612031567836,16,2758.216666663376,3960.4446221544795,11757.516666656049,8547.029653603755,egocentric_near,context,in front of,behind,3,context
0e4f4e87-15d0-5112-9419-f448e5fefa0a,The painting is in front of Ali. Ali turns right. The painting is BLANK Ali.,0.21052631578947367,0.8549819600709617,19,3235.564285713381,2668.692337670997,5829.528571436448,6375.283861362513,egocentric_near,target,left of,right of,1,target
0f27ed08-ff9a-593c-a9d7-a3c11c3fa063,Ali and Mark are facing eachother. Mark turns around. Ali is facing BLANK Mark.,-0.037037037037037035,0.7586162241203227,27,3337.15263156436,3783.0446892921536,6554.631578935604,6415.653590667317,two_refs_egocentric,target,towards,away from,3,target
10ca4a05-1305-559c-8e2c-dfbf1794f86d,Ali is BLANK of Milwaukee. Ali walks North. Ali is getting closer to Milwaukee.,0.22727272727272727,0.8691439785278705,22,3161.18749999837,3645.2494742019258,8057.76250001858,7813.348110837646,geocentric_distant,context,South,North,1,context
11b9c7f0-ecb6-5489-b941-2a3815cb66ce,The ball is BLANK the box. Ali pushes the ball forward. The ball is under the box.,0.23404255319148937,0.8898648152692683,47,4673.272727264825,6651.982392824457,8757.893939388296,9849.52735347465,action_nonfollows,context,under,above,2,context
1524fa21-bce4-5af0-9fdc-6a1ff52e8db6,The painting is East of Ali. Ali turns left. The painting is BLANK Ali.,0.125,0.8501917942185291,24,10510.794117633472,18174.55392727959,10510.33529412067,12445.128670838078,geocentric_near,target,East of,North of,1,target
15a162c3-7638-5144-a4a3-f9a13b33f485,The box is floating in the water. Ali puts a tennis ball in the box. The box BLANK.,0.2,0.8227533512074423,40,3433.2299999895195,2791.3540837293685,5959.7166666582225,6120.241952634236,action_nonfollows,target,floats,sinks,4,target
162a2775-ee11-5113-88b7-2c0428ec9880,Ali is to the BLANK Mark. Mark looks to his right. Mark see Ali.,0.18518518518518517,0.878680699731007,27,2563.6210526525974,1984.3622106230878,10206.789473680878,9008.488113933225,two_refs_egocentric,context,right of,left of,1,context
1710b645-2bb2-54c6-8ac1-62f03525d880,Ali is facing away from Chicago. Ali turns around. Chicago is BLANK Ali.,0.3684210526315789,0.8829022360735795,38,3360.21428570311,3275.7977150835836,5038.003571429955,5527.319695803963,egocentric_distant,target,in front of,behind,4,target
1916451f-868a-5f58-9e6c-6033ca77e634,The painting is BLANK Ali. Ali turns right. The painting is right of Ali.,0.0851063829787234,0.8296093170109744,47,4405.024242427763,3637.129827812217,7332.624242428125,8591.2415869736,egocentric_near,context,behind,in front of,2,context
19257184-707f-5809-ae07-f015d47b973f,The empty glass is on the table. Ali fills the BLANK halfway. The glass is dry.,0.25,0.8563488385776752,16,3207.0083333508423,2687.2152268477435,6266.241666669957,6488.348681296997,state_nonfollows,context,sink,glass,2,context
1c80ade4-3063-5830-8934-448a2e3ccdb3,Milwaukee is BLANK Ali. Ali turns around. Milwaukee is North of Ali.,-0.10526315789473684,0.7374684055082001,19,3146.2230769189405,1597.42044776738,8942.707692311074,8593.901868131421,geocentric_distant,context,North of,South of,1,context
1dfa5edb-b651-5e4f-84d7-cbc32c618e98,Milwaukee is West of Ali. Ali turns left. Milwaukee is BLANK Ali.,0.09523809523809523,0.8890872794479688,21,5502.407142864008,7533.245601330269,10225.778571434319,8608.469505543115,geocentric_distant,target,West of,South of,3,target
1f28c430-b30e-55c9-bcff-fabf755392f2,The painting is BLANK of Ali. Ali turns right. The painting is behind Ali.,0.3333333333333333,0.9074852129730301,18,1833.0076922737062,1428.518513705267,10319.08461538276,9708.536298873141,egocentric_near,context,left,right,4,context
20c122a7-ab2c-5966-b297-c5040adfe23e,Milwaukee is BLANK Ali. Ali turns right. Milwaukee is West of Ali.,0.15,0.8127277008872491,20,2790.6266666611036,4207.263004527478,11129.293333324045,14874.704413509899,geocentric_distant,context,West of,North of,2,context
210a7a1b-215f-574d-96be-bb4575d7df97,The painting is South of Ali. Ali turns right. The painting is BLANK Ali.,-0.038461538461538464,0.7736029591861309,26,6164.261111121832,7813.897212570372,9494.25555556433,13165.487801161198,geocentric_near,target,South of,West of,4,target
21a31cff-69cd-5fb6-aa15-b02b298e738a,Ali is South of Milwaukee. Ali walks North. Ali is getting BLANK Milwaukee.,0.13636363636363635,0.8335497554466649,22,5295.375000005355,6432.1316478592125,36827.256250019884,123516.61824807234,geocentric_distant,target,closer to,further from,3,target
2206d693-156b-580d-a926-7c9dd845f0df,Ali is to Mark's right. Mark turns around. Ali is to Mark's BLANK.,0.42105263157894735,0.837707816583391,19,2203.9866666520634,2636.0089547811854,7932.126666657378,6640.348129039597,two_refs_egocentric,target,left,right,4,target
244dbf50-7c56-53b3-a5e2-96526647c538,Milwaukee is South of Ali. Ali turns left. Milwaukee is BLANK Ali.,0.15384615384615385,0.8006407690254357,13,2328.0300000038014,2196.7068469098126,9742.079999996346,8089.898491720497,geocentric_distant,target,South,East of,1,target
27bc3da0-29e8-5aff-8cdc-aebfdecd2412,The box is close to Ali. Ali throws the ball. The box is BLANK Ali.,0.40625,0.8370214087522956,32,3929.7279999917746,3975.2345805619066,9226.83199999988,8870.171888453016,action_nonfollows,target,close to,far from,1,target
27c72cf7-5d80-526d-9ace-d6625063dfe0,Chicago is BLANK Ali. Ali turns right. Chicago is left of Ali.,0.13157894736842105,0.8111071056538127,38,5214.525000002235,6614.792168548417,8561.221428579252,7629.562592503359,egocentric_distant,context,in front of,behind,3,context
