prompt_uuid,prompt,accuracy,accuracy_sd,n_subjects,space_rt_mean,space_rt_sd,choice_rt_mean,choice_rt_sd,a,b,Category,critical_trial
01ab1e92-2477-582f-a9a9-917cb2a0983b,The empty cup is on the table. Ali fills the sink. The cup is BLANK.,0.7727272727272727,0.42893202722888857,22,3156.840909085797,2232.34740952199,3542.9909090972083,3468.3539201116864,dry,wet,empty_fills,True
0318a66a-6207-5568-9d40-200aa1786c0b,The pot is on the floor. Ali bumps the table. The pot BLANK.,0.6428571428571429,0.731020885058378,28,3067.6750000096895,2002.4297541242236,13941.22499998591,52523.05855917092,doesn't break,breaks,push_no_break,True
03be173e-02aa-5a79-968a-ce8ea00117d3,The empty glass is on the table. Ali knocks the glass over. The table is BLANK.,0.4423076923076923,0.6075815619729357,52,3196.5632653010557,3135.38673530025,3295.246938778118,2001.4861662776052,dry,wet,empty_dry,True
03c79cd5-cadc-5704-b773-cdd109719ae3,The stew is on the table. Ali turns on the stove. The stew gets BLANK.,0.034482758620689655,0.6257999806356236,29,12584.83333333776,43601.53792906406,2805.020833341308,2096.355669493166,colder,warmer,table_stove,True
052dddd5-a2cf-5e97-90ed-7e2d2e91f62e,The gumbo is on the table. Ali turns on the stove. The gumbo gets BLANK.,0.28,0.6137317546507323,25,2716.947826084739,1990.1291983684523,3723.6260869458074,3139.5732660450403,colder,warmer,table_stove,True
06b16899-ccf7-506d-b8e7-c094839d0ed7,The empty bowl is on the table. Ali knocks the bowl over. The table is BLANK.,0.6666666666666666,0.48507125007266594,18,3324.305555543966,2265.6683269107807,3997.3722222269407,5226.489608853756,dry,wet,empty_dry,True
0edfc764-15dc-56a4-97f0-79696d42e604,The candle is on the table. Ali bumps the lamp. The candle BLANK.,0.3181818181818182,0.6463349888014092,22,4461.450000011549,4258.149760345745,2358.4700000111015,1608.5375312832102,doesn't break,breaks,bumps_breaks,True
11d7dec7-34c3-5381-80c8-460155badd74,The museum is North of Ali. Ali turns around. The museum is BLANK Ali.,0.35714285714285715,0.6784669927988098,28,4424.523999996518,3875.3923529411877,5122.507999986894,6991.373160664749,North of,South of,north_turns_around,True
168b3f9d-5c7e-5e03-948e-a8b96b9e08a7,The house is North of Ali. Ali turns around. The house is BLANK Ali.,0.36363636363636365,0.5810872031479765,22,3624.1047618924417,2854.6955214998275,3374.847619059518,2879.772018696259,North of,South of,north_turns_around,True
1859f2b1-26a2-5a64-959f-fab9926dbb6d,The tablet is on the table. Ali bumps the lamp. The tablet BLANK.,0.7083333333333334,0.624093545570845,24,2794.763636367713,1966.0385578545015,4186.599999989889,4770.774547047148,doesn't break,breaks,bumps_breaks,True
23582299-2316-5e9e-a72f-ef1038bc4df3,The emtpy can is on the table. Ali fills the sink. The can is BLANK.,0.7619047619047619,0.5389584311207966,21,3186.1449999837205,2741.4484886808887,3981.0299999876415,3071.9950495078356,dry,wet,empty_fills,True
272fb3b8-f899-5ff0-ae86-55a1cddaa8e6,The jar is on the floor. Ali bumps the table. The jar BLANK.,0.75,0.531609533071195,24,8388.595652174003,25581.139168119884,12612.317391308588,33809.24588569803,doesn't break,breaks,push_no_break,True
2828fd38-836b-534a-a861-283f930b7d39,The phone is on the table. Ali bumps the lamp. The phone BLANK.,0.6538461538461539,0.6894814104706634,26,2956.36086955294,2095.915796078117,3408.5217391191172,3884.200215560531,doesn't break,breaks,bumps_breaks,True
2a5f6d9c-8b03-5fe5-8a19-87971947d204,The glass is on the floor. Ali bumps the table. The glass BLANK.,0.49019607843137253,0.6744642027449,51,3256.319565216545,2306.3962752549946,2928.750000005916,2863.253745564148,doesn't break,breaks,push_no_break,True
2b80b416-13b1-5a5a-9b61-4c40aac5cf9e,The porridge is on the table. Ali turns on the stove. The porridge gets BLANK.,0.4074074074074074,0.6360490582953523,27,3521.376000002967,3017.7884299163807,3638.103999989672,3950.921303479642,colder,warmer,table_stove,True
2f76e57c-aad0-59fa-99e3-ad747c8c14d1,The vase is on the table. Ali bumps the lamp. The vase BLANK.,0.4583333333333333,0.5882299658752715,24,3072.1521739077834,2421.97058684342,2982.4086956522456,2609.8362303074177,doesn't break,breaks,bumps_breaks,True
2fc6d99a-038d-5235-bc08-f350777f4e86,The empty jug is on the table. Ali knocks the jug over. The table is BLANK.,0.64,0.6377042156569663,25,3721.2956521866195,2057.2042890364014,3753.7782608975617,4024.2377009485003,dry,wet,empty_dry,True
304f867c-d22c-5f80-8b58-04c39ecc54c7,The broth is on the table. Ali turns on the stove. The broth gets BLANK.,0.6,0.5982430416161189,20,3533.9157894902714,2394.7684103420274,2561.8789473740585,1897.925344973459,colder,warmer,table_stove,True
335be0e6-a5ed-5801-80f1-5c6cab349d24,The empty kettle is on the table. Ali fills the sink. The kettle is BLANK.,0.65,0.5871429486123999,20,3993.7631578821884,2531.5989286913828,3036.436842101185,2415.9928203497293,dry,wet,empty_fills,True
34ea25b7-8077-5b64-bc1b-17e62828dfb0,The empty glass is on the table. Ali fills the sink. The glass is BLANK.,0.8695652173913043,0.34435022157509093,23,3797.299999991157,3493.8375068858763,4650.199999999094,4094.5486765356964,dry,wet,empty_fills,True
35b3312e-b7e0-59b8-933b-ec0336ad5162,The empty teapot is on the table. Ali knocks the teapot over. The table is BLANK.,0.26666666666666666,0.6914918072835208,30,5568.369230766422,5415.835318755042,10324.346153854536,25427.87737301189,dry,wet,empty_dry,True
36794563-6ac8-5075-8df5-b2ecbd8f8c8b,The empty mug is on the table. Ali fills the sink. The mug is BLANK.,0.6521739130434783,0.6472807211834833,23,3660.7619047356948,2658.2370042408043,3499.8666666593276,3772.363474173749,dry,wet,empty_fills,True
3bc3df7d-a91c-5999-8bb6-788efd21d35e,The empty pot is on the table. Ali knocks the pot over. The table is BLANK.,0.3103448275862069,0.7608007189732064,29,3542.5958333366434,2651.7157035674777,3564.7500000024643,2863.994985850238,dry,wet,empty_dry,True
403f4fa5-5200-5d22-9f1b-6e2c2edf755c,The steak is on the table. Ali turns on the stove. The steak gets BLANK.,0.5714285714285714,0.5070925528371099,21,3826.3714286021977,2158.508198776187,3537.5238094587944,3396.3691789685754,colder,warmer,table_stove,True
40691f9e-5ca7-5c21-98cb-f1f3e90fece7,The computer is North of Ali. Ali turns around. The computer is BLANK Ali.,0.3181818181818182,0.6463349888014093,22,3448.499999991059,2859.7106452713015,2506.6849999878555,2469.132138674789,North of,South of,north_turns_around,True
42f4e9ba-3d9f-52aa-aa48-aaf77bdffda2,The man is North of Ali. Ali turns around. The man is BLANK Ali.,0.5789473684210527,0.5072572735017881,19,4805.278947361194,6252.837440761394,4049.1684210509134,2950.3024063567836,North of,South of,north_turns_around,True
43bffc24-3955-522c-a74b-5fd4b204d283,The soup is on the table. Ali turns on the stove. The soup gets BLANK.,0.4230769230769231,0.6433087546786176,26,2432.2125000128704,1983.217529406974,3296.3333333371534,2826.4593509037504,colder,warmer,table_stove,True
4c8e019f-3f91-5c88-bdea-d68026fd0446,The glass is on the table. Ali bumps the lamp. The glass BLANK.,0.5,0.6480740698407861,26,2627.650000008119,2385.0423860920428,3618.079166663141,4066.334427316061,doesn't break,breaks,bumps_breaks,True
4d25e5cd-4b9f-54f6-abe2-eafde27f21c2,The empty flask is on the table. Ali knocks the flask over. The table is BLANK.,0.5555555555555556,0.5113099925649136,18,3870.6055555620956,3798.2973134881277,2215.833333314707,1603.0474445077068,dry,wet,empty_dry,True
4e7ee80f-f119-5b6d-82df-ba4d4ad03735,The television is on the floor. Ali bumps the table. The television BLANK.,0.9047619047619048,0.30079260375911915,21,3876.666666691058,3045.3573874631757,3489.7904761450454,4022.2779601995476,doesn't break,breaks,push_no_break,True
4ec9870c-0c7d-5611-b076-993ce15358f1,The fish is on the table. Ali turns on the stove. The fish gets BLANK.,0.5238095238095238,0.511766315719159,21,3784.0619047893033,3188.917919988093,7065.823809524243,10446.849294432852,colder,warmer,table_stove,True
504496f0-2b75-5a26-8866-95cbb113f5a4,The empty thermos is on the table. Ali knocks the thermos over. The table is BLANK.,0.47619047619047616,0.6015852075182384,21,6343.335000008077,12037.348052063604,3840.6899999941465,3561.447337210556,dry,wet,empty_dry,True
51679ab6-e072-51aa-920a-095c3ab09319,The street is North of Ali. Ali turns around. The street is BLANK Ali.,0.4,0.6454972243679028,25,4141.047826022556,2876.164753446685,4431.50434779473,9779.3022825883,North of,South of,north_turns_around,True
51f91196-934d-5ef1-b798-f0d70fe6a0c2,The dog is North of Ali. Ali turns around. The dog is BLANK Ali.,0.2857142857142857,0.5998236072282915,28,4181.64615384108,2847.6342438223264,3795.8384615421437,3594.110621675734,North of,South of,north_turns_around,True
54f3455a-0981-5b04-b253-5891eb7c16e5,The statue is North of Ali. Ali turns around. The statue is BLANK Ali.,0.3333333333333333,0.6201736729460422,27,3914.575999992469,3920.943383429125,4347.160000001267,3794.512927570524,North of,South of,north_turns_around,True
581ab406-6472-5213-8fa5-924e54aadbbb,The clock is on the floor. Ali bumps the table. The clock BLANK.,0.5217391304347826,0.6653478391304605,23,6414.109523815978,15202.409711679597,2524.2666666546193,2154.118714315802,doesn't break,breaks,push_no_break,True
58b88005-7f83-54dc-8994-ba230c248673,The empty box is on the table. Ali fills the sink. The box is BLANK.,0.6428571428571429,0.6784669927988098,28,17923.000000013857,69228.6785270722,6860.17600000266,8073.842725650975,dry,wet,empty_fills,True
60833207-b675-5f32-ab67-85a791ce814f,The television is on the table. Ali bumps the lamp. The television BLANK.,0.7916666666666666,0.5089773777040515,24,7807.643478262237,20870.23822804143,4606.247826083563,6217.214769926871,doesn't break,breaks,bumps_breaks,True
608b5972-0b7e-5142-995f-b84143ea7b33,The empty vase is on the table. Ali fills the sink. The vase is BLANK.,0.6521739130434783,0.6472807211834832,23,16565.080952382446,49901.84558041627,3105.9523809333778,2664.162026529391,dry,wet,empty_fills,True
637372ba-bac0-5ffc-95af-27467657d0b0,The empty jar is on the table. Ali fills the sink. The jar is BLANK.,0.7777777777777778,0.42779263194649864,18,3364.9333333546915,3165.608102350307,3517.21666664506,3448.1499459295214,dry,wet,empty_fills,True
64e3f33d-f1bb-5469-960d-6b974ada7e0a,The painting is North of Ali. Ali turns around. The painting is BLANK Ali.,0.24528301886792453,0.5514198587896834,53,4318.48399999669,4516.775012465074,3460.999999999476,3523.356932918303,North of,South of,north_turns_around,True
654f6276-9e9e-52c2-867d-b66c3aa70976,The empty jug is on the table. Ali fills the sink. The jug is BLANK.,0.6060606060606061,0.7044232543095956,33,3999.4413793027275,2547.6580659710276,3185.7689655179856,2648.181408617142,dry,wet,empty_fills,True
6837d037-fd89-5325-945f-ec953cdaf8fc,The sculpture is on the floor. Ali bumps the table. The sculpture BLANK.,0.7272727272727273,0.5504818825631803,22,4650.800000005867,7809.57696498216,3094.657142869283,2806.7531960726346,doesn't break,breaks,push_no_break,True
688b9409-948b-5506-a5bd-8f72bd8f0cdd,The chili is on the table. Ali turns on the stove. The chili gets BLANK.,0.32,0.6271629240742259,25,2338.4043478279814,1735.2194971246456,3987.8652174010995,3109.452537402332,colder,warmer,table_stove,True
68d84e25-fe4e-5077-a48e-f046d48af2fc,The book is North of Ali. Ali turns around. The book is BLANK Ali.,0.2727272727272727,0.631085095901019,22,4012.6150000013413,3466.657652291292,1636.3250000145285,889.235604852633,North of,South of,north_turns_around,True
6bb50e85-6ac5-52a5-b623-32e416664177,The empty carton is on the table. Ali knocks the carton over. The table is BLANK.,0.5384615384615384,0.5817744738827396,26,4112.24000000441,3005.18160848463,4902.836000000285,7427.691023006067,dry,wet,empty_dry,True
6fbad9b4-9231-5796-a9b4-b8e8fb940654,The chicken is on the table. Ali turns on the stove. The chicken gets BLANK.,0.16666666666666666,0.6370220572706061,24,4746.519047621815,3652.866845312559,2632.457142862536,1894.8644760389614,colder,warmer,table_stove,True
730042f0-d8b0-5c6c-8bf7-410416a84eb5,The lamp is on the floor. Ali bumps the table. The lamp BLANK.,0.6153846153846154,0.6373020054525532,26,3359.5958333076774,3264.2017277657396,3549.054166662934,3488.3422290556023,doesn't break,breaks,push_no_break,True
746aa902-d880-5b36-add1-a3457a31beb3,The plate is on the floor. Ali bumps the table. The plate BLANK.,0.4666666666666667,0.6814453874610599,30,3894.3740740710377,3175.2800870572523,3224.748148150065,3909.9271068687594,doesn't break,breaks,push_no_break,True
7b0ff26b-5f65-57c0-b1e1-7dac2ab25032,The empty can is on the table. Ali knocks the can over. The table is BLANK.,0.43478260869565216,0.6623708763718501,23,4485.890476190927,4087.4436705598237,2878.9714286041008,2526.0320639889187,dry,wet,empty_dry,True
7ba8e937-510d-512c-ac3a-9877388c0eec,The sauce is on the table. Ali turns on the stove. The sauce gets BLANK.,0.3793103448275862,0.6218516763579258,29,3468.129629630899,3103.908233773593,3644.785185184123,3403.13048832031,colder,warmer,table_stove,True
7f7d49b6-0545-5dd9-9166-80fc48a498e7,The empty mug is on the table. Ali knocks the mug over. The table is BLANK.,0.7391304347826086,0.4489777585448795,23,3418.226086954857,3546.124060432282,3459.478260870894,2363.1457528122755,dry,wet,empty_dry,True
81e84bb2-9f95-5bbd-bbe3-af94794b6123,The mug is on the table. Ali bumps the lamp. The mug BLANK.,0.5555555555555556,0.6405126152203485,27,3089.8079999920424,2333.353997995678,3660.336000004769,3498.3579118004473,doesn't break,breaks,bumps_breaks,True
852b0651-2c81-5807-ba4a-d3f2a56a5e5d,The cup is on the floor. Ali bumps the table. The cup BLANK.,0.5357142857142857,0.6929348671835832,28,12186.98399999641,46239.63501147,3606.1280000139786,4739.8890903359725,doesn't break,breaks,push_no_break,True
88059c09-088b-5009-bafd-b7e931442077,The laptop is on the floor. Ali bumps the table. The laptop BLANK.,0.6,0.6746646676632054,30,4373.337037040981,4110.375414645079,3389.61851851881,4723.32720214918,doesn't break,breaks,push_no_break,True
887ddffd-f870-51c3-a4da-9d16882413d5,The portrait is on the table. Ali bumps the lamp. The portrait BLANK.,0.3333333333333333,0.701964118163034,24,4889.038095232986,5088.39978092375,2787.1666666638284,2084.6335667296157,doesn't break,breaks,bumps_breaks,True
8e3a22ae-91ba-581e-9943-23bcec0a345d,The empty container is on the table. Ali fills the sink. The container is BLANK.,0.5185185185185185,0.7529618628798984,27,4864.326086949557,7901.740243148775,5257.521739145782,7984.978633817732,dry,wet,empty_fills,True
8e5290bc-3ba2-56b3-b1c5-33531c9a12ae,The bottle is on the table. Ali bumps the lamp. The bottle BLANK.,0.6190476190476191,0.5895922723535711,21,3878.3249999898717,2909.0283924866194,2387.40500001061,1945.3599597518335,doesn't break,breaks,bumps_breaks,True
8e94a295-1159-50a9-9ebf-d12558060a5d,The ocean is North of Ali. Ali turns around. The ocean is BLANK Ali.,0.2,0.6454972243679027,25,4074.127272737276,3725.830536005699,2026.9409090829167,1659.995070467887,North of,South of,north_turns_around,True
8f5095bc-b58d-59fb-94fa-7c121e14b746,The sculpture is on the table. Ali bumps the lamp. The sculpture BLANK.,0.56,0.6506407098647712,25,3327.269565211407,2703.145516760078,3159.6217391179957,2538.72160830138,doesn't break,breaks,bumps_breaks,True
95cf280f-0045-5691-9286-ca2825f711f3,The ornament is on the table. Ali bumps the lamp. The ornament BLANK.,0.5789473684210527,0.5072572735017881,19,3894.7421052511536,3906.8573699620233,3818.563157899501,3727.648425723398,doesn't break,breaks,bumps_breaks,True
9727b31c-2a14-5db5-9980-0074c623524f,The empty flask is on the table. Ali fills the sink. The flask is BLANK.,0.6956521739130435,0.5587959953568721,23,3060.545454537771,2344.3705014864645,4458.309090923454,3799.12099657025,dry,wet,empty_fills,True
9c900f5c-ba5e-50dd-ad14-ff2e930698e4,The lake is North of Ali. Ali turns around. The lake is BLANK Ali.,0.06896551724137931,0.6508804192761097,29,3905.879166680543,3546.7407052676144,3309.4041666554403,3722.708931558893,North of,South of,north_turns_around,True
a0089e09-ecb1-5910-97f4-de47ef22bfcd,The phone is on the floor. Ali bumps the table. The phone BLANK.,0.4444444444444444,0.7510676161988107,27,3091.9608695610104,2171.793535858904,2468.7565217409283,2266.45936968607,doesn't break,breaks,push_no_break,True
a375252e-8be0-5a31-8826-ab7a09baa72d,The whiteboard is North of Ali. Ali turns around. The whiteboard is BLANK Ali.,0.391304347826087,0.5830273995419091,23,4560.695454529317,3030.6805280877584,3273.2772727532906,2677.368780735268,North of,South of,north_turns_around,True
a3aa7fe8-9da6-5cc8-8664-c4fd06944bd2,The vase is North of Ali. Ali turns around. The vase is BLANK Ali.,0.20689655172413793,0.6198680933892067,29,4851.342307693253,3822.2788642545183,3732.861538467441,4447.76753232864,North of,South of,north_turns_around,True
a74a9014-1030-5c5d-b1d0-43ada1ff9c9d,The pasta is on the table. Ali turns on the stove. The pasta gets BLANK.,0.23076923076923078,0.5870395085642742,26,3733.6416666647033,2846.131873861789,9877.695833333652,29557.975296967805,colder,warmer,table_stove,True
aaa1f7f2-1b97-5138-9daa-38fb1bd7bc25,The plate is on the table. Ali bumps the lamp. The plate BLANK.,0.4666666666666667,0.6814453874610599,30,3458.3592592495584,3163.180457815425,3500.9148148194936,4841.718691958607,doesn't break,breaks,bumps_breaks,True
aad29bfa-c5cb-5d6a-9c3f-296137723195,The coffee is on the table. Ali turns on the stove. The coffee gets BLANK.,0.7894736842105263,0.4188539082916955,19,3013.3578947142114,1837.5200764803553,3621.3421052537833,4928.488348505858,colder,warmer,table_stove,True
af3ddb77-e0ef-5dc6-a71f-322ffe4f1f53,The mug is on the floor. Ali bumps the table. The mug BLANK.,0.52,0.714142842854285,25,3132.7999999848907,3445.031391396342,3243.963636360978,3084.7554760713374,doesn't break,breaks,push_no_break,True
b0f42dcc-e0f5-5341-907b-8832326e0521,The curry is on the table. Ali turns on the stove. The curry gets BLANK.,0.35,0.5871429486123998,20,3248.131578950113,2275.9636213236076,2339.2789473784596,1835.2999032983494,colder,warmer,table_stove,True
b53176cd-e250-5a59-b3be-ceaba45ea634,The empty bowl is on the table. Ali fills the sink. The bowl is BLANK.,0.5357142857142857,0.6929348671835832,28,6479.5360000091405,14265.684941693613,13704.947999993898,46205.0388630329,dry,wet,empty_fills,True
b981d9fe-77c9-531c-afc1-fc37c2d11e04,The vase is on the floor. Ali bumps the table. The vase BLANK.,0.5416666666666666,0.5882299658752715,24,2132.047826080955,1354.7096702949898,2572.243478266846,1639.4936468371616,doesn't break,breaks,push_no_break,True
c476f558-1f2e-503e-90a0-b300840ca6e1,The mirror is on the floor. Ali bumps the table. The mirror BLANK.,0.6956521739130435,0.5587959953568721,23,3705.05909091721,2021.7508135611563,2316.018181766976,1446.2459017260805,doesn't break,breaks,push_no_break,True
c746580e-0ddd-5f98-b93a-f4cca7c1f161,The tablet is on the floor. Ali bumps the table. The tablet BLANK.,0.6,0.5982430416161189,20,3451.531578958819,2575.4784466068118,2885.7210526274225,2446.7274199031494,doesn't break,breaks,push_no_break,True
c79d12ce-733d-590c-bf09-4db1c50645ce,The empty vase is on the table. Ali knocks the vase over. The table is BLANK.,0.5652173913043478,0.5897678246195885,23,5545.386363608466,6107.971945089924,4794.486363646236,4745.523319556528,dry,wet,empty_dry,True
ca149acc-4333-5d4e-9b73-b3954089e0b3,The jar is on the table. Ali bumps the lamp. The jar BLANK.,0.6086956521739131,0.6563764465043606,23,7177.876190498297,22136.15731658632,2941.004761913168,1972.0175621681283,doesn't break,breaks,bumps_breaks,True
ca1d2738-b7ef-5748-bc41-00d7b201a41c,The empty thermos is on the table. Ali fills the sink. The thermos is BLANK.,0.7391304347826086,0.540823555863717,23,4415.490909056103,2452.9184066092052,3054.1909091135235,2215.1698296433387,dry,wet,empty_fills,True
